,col_type,missing_vals,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id,int64,0,3585.0,3585,,,8440874.627615063,4500786.860724617,3353.0,4679319.0,8577620.0,12789527.0,14933461.0
listing_url,object,0,3585,3585,https://www.airbnb.com/rooms/5726250,1,,,,,,,
scrape_id,int64,0,3585.0,1,,,20160906204935.85,0.8516812922862722,20160906204935.0,20160906204935.0,20160906204935.0,20160906204935.0,20160906204935.0
last_scraped,object,0,3585,1,2016-09-07,3585,,,,,,,
name,object,0,3585,3504,Lux 2BR by Fenway w/WiFi,8,,,,,,,
summary,object,143,3442,3113,"The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End.",21,,,,,,,
space,object,1057,2528,2268,"The studio's kitchenette comes equipped with a mini fridge, microwave, two plate stove top, toaster and coffee maker.  All units are fully furnished and accessorized with kitchenettes: Free Wireless Internet All stainless appliances Maple floor, cabinets Memoire Pedestal bathroom sinks Antique 3×6 tiling Italian track & floor lighting",17,,,,,,,
description,object,0,3585,3423,"The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. The studio's kitchenette comes equipped with a mini fridge, microwave, two plate stove top, toaster and coffee maker.  All units are fully furnished and accessorized with kitchenettes: Free Wireless Internet All stainless appliances Maple floor, cabinets Memoire Pedestal bathroom sinks Antique 3×6 tiling Italian track & floor lighting Wireless internet, set of towels and linens provided upon arrival, flatware, silverware and cooking utensils, direct satellite TV, coin-op Laundry in the building. Parking: Public transportation is the suggested form of transportation as it is only less than a 5 minute walk to the Back Bay Station. There is primarily street parking reserved for Boston residents which you need a permit in order to use. Nearby garages:      Prudential Center Garage      800 Boylston Street      Boston, MA (PHONE NUMBER HIDDEN)      Copley Place P",7,,,,,,,
experiences_offered,object,0,3585,1,none,3585,,,,,,,
neighborhood_overview,object,1415,2170,1728,"Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",21,,,,,,,
notes,object,1975,1610,1269,"Although we do not allow pets in our apartment, this apartment is located at a residential property that allows pets and there may be pet owners in the building.",44,,,,,,,
transit,object,1290,2295,1859,"These newly constructed, luxury apartments epitomize what it means to live well in one of Boston’s most eclectic and vibrant communities. An established neighborhood standout, the building’s apartments offer floor to ceiling windows with one of the most beautiful views of the Boston skyline. No matter what your preference, you’re within minutes of it all - Back Bay’s trendy shopping centers, Fenway’s endless entertainment, the best restaurants in Boston, and easy access to the Fenway T. The ease that comes with our 24 hour check in and concierge service, parking garage, as well as unparalleled on-site amenities makes this the only place to stay on your next trip to Boston!",26,,,,,,,
access,object,1489,2096,1762,"You have access to the entire apartment, and all the fantastic amenities this building offers to its tenants.",48,,,,,,,
interaction,object,1554,2031,1617,"Need more towels? A restaurant recommendation? Our guest experience team is just a phone call or email away, 24 hours a day. Otherwise, you’ve got the place all to yourself.",58,,,,,,,
house_rules,object,1192,2393,1928,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",44,,,,,,,
thumbnail_url,object,599,2986,2986,https://a0.muscache.com/im/pictures/17730638/4f5395df_original.jpg?aki_policy=small,1,,,,,,,
medium_url,object,599,2986,2986,https://a2.muscache.com/im/pictures/100453950/e6ce8471_original.jpg?aki_policy=medium,1,,,,,,,
picture_url,object,0,3585,3585,https://a2.muscache.com/im/pictures/37c72b16-b024-4940-8dc5-138524cd23e7.jpg?aki_policy=large,1,,,,,,,
xl_picture_url,object,599,2986,2986,https://a2.muscache.com/im/pictures/44644197/27d7d775_original.jpg?aki_policy=x_large,1,,,,,,,
host_id,int64,0,3585.0,2181,,,24923107.451046024,22927809.87380084,4240.0,6103425.0,19280995.0,36221474.0,93854106.0
host_url,object,0,3585,2181,https://www.airbnb.com/users/show/30283594,136,,,,,,,
host_name,object,0,3585,1334,Kara,138,,,,,,,
host_since,object,0,3585,1281,2015-03-30,137,,,,,,,
host_location,object,11,3574,176,"Boston, Massachusetts, United States",2421,,,,,,,
